,-,traw,t,-.1,-.2,ECG,Ax,Ay,Az,Amag,Aave,Smooth
162,67,31.1599999999994,3.2399999999999984,536936130,133133,378,0.188734,0.972035,0.102114,0.9954395174881294,0.420961,0.42162334323432327
163,67,31.1799999999994,3.259999999999998,234636,0,375,0.190198,0.972035,0.100772,0.995581396176626,0.4210016666666667,0.42160119801980184
164,67,31.1999999999994,3.2799999999999976,234636,0,373,0.190564,0.975329,0.101138,0.9989044956255828,0.4223436666666667,0.42162434983498337
165,67,31.2199999999994,3.299999999999997,536936130,133133,368,0.191479,0.973621,0.098881,0.997185795748716,0.421327,0.42157925412541236
166,67,31.2399999999994,3.3200000000000003,536936130,133133,365,0.188124,0.973133,0.10187,0.9963714026230379,0.4210423333333333,0.42155449174917475
167,67,31.2599999999994,3.34,-2142765060,179363,366,0.187392,0.974597,0.098576,0.9973325933955032,0.4201883333333334,0.42145604620462035
168,67,31.2799999999994,3.3599999999999994,-734,115,440,0.185013,0.976183,0.098332,0.9984148646139039,0.41984266666666675,0.4215309372937293
169,67,31.2999999999994,3.379999999999999,0,86903,33,0.188429,0.976915,0.09272,0.9992324072336725,0.4193546666666666,0.42153194389438936
170,67,31.3199999999994,3.3999999999999986,0,86903,0,0.19398,0.984113,0.079971,1.0062315826935666,0.4193546666666667,0.42154301650165
171,67,31.3399999999994,3.419999999999998,-877,462,374,0.191052,0.967826,0.096746,0.991235502540138,0.4185413333333334,0.42154241254125396
172,67,31.3599999999994,3.4399999999999977,0,86903,527,0.194468,0.97783,0.060268,0.9988000519363222,0.41085533333333335,0.42139403960396016
173,67,31.3799999999994,3.4599999999999973,-982,550,508,0.192882,0.988322,0.098881,1.011810898226047,0.42669500000000005,0.42144517491749156
174,67,31.3999999999994,3.4800000000000004,536936130,133133,509,0.186721,0.975451,0.089975,0.9972286026117582,0.4173823333333333,0.4213886039603959
175,67,31.4199999999994,3.5,0,86903,505,0.178364,0.968192,0.12749,0.9927049740280343,0.42468200000000006,0.42142645214521435
176,67,31.4399999999994,3.5199999999999996,-932,368,510,0.186477,0.967277,0.099979,0.9901486083911849,0.4179110000000001,0.4213956501650163
177,67,31.4599999999994,3.539999999999999,536936130,133133,515,0.188917,0.980941,0.100223,1.0039818365383906,0.42336033333333334,0.4214645016501648
178,67,31.4799999999994,3.5599999999999987,0,86903,515,0.193553,0.985333,0.091805,1.0083511505041287,0.42356366666666667,0.42159515841584144
179,67,31.4999999999994,3.5799999999999983,0,86903,513,0.188978,0.974048,0.100223,0.9972596655420293,0.42108300000000004,0.42164105940594043
180,67,31.5199999999994,3.599999999999998,536936130,133133,523,0.194407,0.979965,0.096624,1.0037239063856156,0.42366533333333334,0.4217934587458745
181,67,31.5399999999994,3.6199999999999974,536884860,209577,511,0.186294,0.971852,0.10614,0.9952223188514213,0.4214286666666667,0.42188727392739256
182,67,31.5599999999994,3.639999999999997,0,86903,499,0.187148,0.969412,0.1037,0.9927425092379192,0.42008666666666666,0.42194766996699656
183,67,31.5799999999994,3.66,-907,609,469,0.186172,0.970876,0.105652,0.9941944307146364,0.42090000000000005,0.4219986039603959
184,67,31.5999999999994,3.6799999999999997,0,86903,449,0.183915,0.981734,0.102602,1.0040684958632056,0.42275033333333334,0.4220137029702969
185,67,31.6199999999994,3.6999999999999993,0,86903,425,0.190808,0.969473,0.096136,0.9927374885079137,0.4188056666666667,0.42196941254125403
186,67,31.6399999999994,3.719999999999999,-934,532,419,0.183976,0.984906,0.093818,1.0063244081984695,0.4209,0.4219436435643563
187,67,31.6599999999994,3.7399999999999984,0,86903,411,0.188246,0.981551,0.093513,1.0038045642882882,0.42110333333333333,0.421907204620462
188,67,31.6799999999994,3.759999999999998,-898,513,404,0.190747,0.973316,0.090951,0.9959922380550965,0.41833800000000004,0.4218516402640263
189,67,31.6999999999994,3.7799999999999976,536936130,133133,396,0.190564,0.976976,0.091622,0.9995955850022548,0.4197206666666667,0.42184217821782166
190,67,31.7199999999994,3.799999999999997,0,86903,387,0.187026,0.976671,0.091927,0.9986568681213783,0.4185413333333334,0.421801712871287
191,67,31.7399999999994,3.8200000000000003,-877,495,375,0.185379,0.97173,0.096624,0.9939621541673506,0.417911,0.4217606435643563
192,67,31.7599999999994,3.84,536936130,133133,376,0.183976,0.975085,0.096441,0.9969647898907965,0.41850066666666663,0.4217693003300328
193,67,31.7799999999994,3.8599999999999994,0,86903,371,0.183305,0.973499,0.096197,0.9952662401764666,0.417667,0.4217608448844883
194,67,31.7999999999994,3.879999999999999,0,86903,372,0.185379,0.976305,0.094855,0.9982656448516096,0.41884633333333326,0.4217503762376237
195,67,31.8199999999994,3.8999999999999986,536936130,133133,369,0.186294,0.976793,0.093086,0.9987467259926313,0.4187243333333333,0.42172239273927387
196,67,31.8399999999994,3.919999999999998,536936130,133133,377,0.189222,0.972401,0.091683,0.9948740837784448,0.4177686666666667,0.42168655775577557
197,67,31.8599999999994,3.9399999999999977,0,86903,375,0.187819,0.973499,0.089914,0.9955203700366959,0.41707733333333336,0.42164327392739276
198,67,31.8799999999994,3.9599999999999973,-623,219,370,0.18666,0.972645,0.092354,0.9946906619351567,0.4172196666666667,0.4215796567656766
199,67,31.8999999999994,3.9800000000000004,0,86903,364,0.193065,0.972889,0.090951,0.9960216789543288,0.41896833333333333,0.42157804620462047
